col_id	kingdom	phylum	class	order	family	genus
COL654	Bacteria	Cyanobacteriota	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	NA
COL655	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168
COL656	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Virgisporangium
COL657	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	NA
COL658	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
COL659	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
COL660	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter
COL661	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Diplosphaera
COL662	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
COL663	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Pseudobdellovibrio
COL664	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	Aggregatilinea
COL665	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus
COL666	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis
COL667	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Rhodocytophaga
COL668	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter
COL669	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella
COL670	Bacteria	Deferrisomatota	Deferrisomatia	Deferrisomatales	Deferrisomataceae	Deferrisoma
COL671	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Aliihoeflea
COL672	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sulfuricellaceae	Sulfurirhabdus
COL673	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea
COL674	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	A4b	OLB13
COL675	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella
COL676	Bacteria	Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Nevskiaceae	NA
COL677	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Tolypothrix
COL678	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga
COL679	Bacteria	Bacillota	Clostridia	Clostridiales	Caloramatoraceae	Fonticella
COL680	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella
COL681	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Labraceae	Labrys
COL682	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	NA	NA
