taxon	projection	kingdom	phylum	class	order	family	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
Bacteria||NB1-j||Incertae Sedis||Incertae Sedis||Incertae Sedis	full	Bacteria	NB1-j	Incertae Sedis	Incertae Sedis	Incertae Sedis	-0.000242552708618965	-0.000610070319011059	-0.000439075975886509	-0.0013810695944492	0.000703959689203651	-0.00102411616198253	-0.00138777107555908	0.000833827240314929
Bacteria||NKB15||Incertae Sedis||Incertae Sedis||Incertae Sedis	full	Bacteria	NKB15	Incertae Sedis	Incertae Sedis	Incertae Sedis	-4.56380836561264e-06	-1.49190603121184e-05	-1.25887868196585e-05	-3.48340938784581e-05	3.02638401965501e-06	-4.10212842940368e-05	-3.61640697043944e-05	1.81229253816891e-05
Bacteria||Nitrospinota||Nitrospinia||Nitrospinales||Nitrospinaceae	full	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	-8.35111592489237e-07	-5.9436597600779e-06	-1.02367633238663e-06	-3.61824096874127e-06	4.41424090691473e-06	-1.23379035797147e-06	-2.51368415984395e-06	3.79925377938047e-06
Bacteria||Nitrospinota||P9X2b3D02||Incertae Sedis||Incertae Sedis	full	Bacteria	Nitrospinota	P9X2b3D02	Incertae Sedis	Incertae Sedis	-7.99693391442864e-06	-1.91860760985018e-05	-2.24791762098304e-05	-5.81428484196475e-05	7.91600670568361e-06	-6.87256864078772e-05	-8.99962698989065e-05	2.6750879267753e-05
Bacteria||Nitrospirota||4-29-1||Incertae Sedis||Incertae Sedis	full	Bacteria	Nitrospirota	4-29-1	Incertae Sedis	Incertae Sedis	-4.08357512172754e-05	-0.000123053037748208	-2.7888623284315e-05	-0.000117340493618252	5.00013048149548e-05	-3.21213013195811e-05	-8.72393982141279e-05	7.74672907184248e-05
Bacteria||Nitrospirota||BMS9AB35||Incertae Sedis||Incertae Sedis	full	Bacteria	Nitrospirota	BMS9AB35	Incertae Sedis	Incertae Sedis	0	0	0	0	0	0	0	0
Bacteria||Nitrospirota||HDB-SIOI1093||Incertae Sedis||Incertae Sedis	full	Bacteria	Nitrospirota	HDB-SIOI1093	Incertae Sedis	Incertae Sedis	0	0	0	0	0	0	0	0
Bacteria||Nitrospirota||Leptospirillia||Leptospirillales||Leptospirillaceae	full	Bacteria	Nitrospirota	Leptospirillia	Leptospirillales	Leptospirillaceae	-5.46540204022448e-05	2.12805062838444e-06	-1.35778174921972e-05	-0.000135087364439454	-5.18135213819433e-05	4.49113563421834e-05	-5.9114826165289e-05	3.50963506737763e-05
Bacteria||Nitrospirota||NA||NA||NA	full	Bacteria	Nitrospirota	NA	NA	NA	-9.65014178006586e-07	-2.56884349918925e-06	-2.43689706080388e-06	-9.57312030868851e-06	1.45834205495042e-06	-7.20569866041579e-06	-1.36817586604719e-05	7.18848761643675e-06
Bacteria||Nitrospirota||Nitrospiria||Nitrospirales||Nitrospiraceae	full	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	-0.000365819369562035	-0.000814170262396521	6.89753988035013e-05	-0.000978020798908985	-0.000306161149156642	-0.000592410053019868	-0.000985472081268245	0.000105189625616558
Bacteria||Nitrospirota||Thermodesulfovibrionia||Incertae Sedis||Incertae Sedis	full	Bacteria	Nitrospirota	Thermodesulfovibrionia	Incertae Sedis	Incertae Sedis	-8.53721344535683e-05	-0.000291056489115661	-0.000139759987658707	-0.000377117360330564	0.000199781757666637	-0.000217531217326774	-0.000412582950597807	0.000244520830300536
Bacteria||Nitrospirota||Thermodesulfovibrionia||NA||NA	full	Bacteria	Nitrospirota	Thermodesulfovibrionia	NA	NA	0	0	0	0	0	0	0	0
Bacteria||Nitrospirota||Thermodesulfovibrionia||Thermodesulfovibrionales||Thermodesulfovibrionaceae	full	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	-3.10361767309478e-06	-3.80354732328153e-06	1.44404652926574e-06	-5.2475793809124e-06	-1.29202721603337e-05	-2.99647241619372e-05	1.72718022458045e-05	-4.44143877736736e-06
Bacteria||PAUC34f||Incertae Sedis||Incertae Sedis||Incertae Sedis	full	Bacteria	PAUC34f	Incertae Sedis	Incertae Sedis	Incertae Sedis	-4.21980747649949e-06	-1.30153099407809e-05	-1.83938496263021e-05	-4.7093323062835e-05	-4.582626991425e-07	-2.38283472874206e-05	-3.25023218498974e-05	1.39987532790872e-05
Bacteria||Patescibacteria||ABY1||Candidatus Buchananbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	ABY1	Candidatus Buchananbacteria	Incertae Sedis	6.49631867399934e-07	-1.43577171844493e-05	-2.69410401211781e-06	-1.4234349586863e-05	1.14706895161465e-06	-2.01284228856477e-05	-2.10499125497714e-05	1.86518847185074e-06
Bacteria||Patescibacteria||ABY1||Candidatus Falkowbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	ABY1	Candidatus Falkowbacteria	Incertae Sedis	-1.46430690266234e-05	-4.11290126842496e-05	6.58277675434191e-06	-7.93030786173855e-05	-4.32408660349828e-05	-8.53386049115088e-05	2.20176000577255e-05	-2.20532449620021e-05
Bacteria||Patescibacteria||ABY1||Candidatus Kerfeldbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	ABY1	Candidatus Kerfeldbacteria	Incertae Sedis	-3.73027531146286e-06	-2.76326754665327e-05	-8.04011963907175e-06	-2.90266327646731e-05	-2.93264160848335e-06	-2.01180174853712e-05	-3.27724136225099e-05	2.97224499744778e-05
Bacteria||Patescibacteria||ABY1||Candidatus Komeilibacteria||Incertae Sedis	full	Bacteria	Patescibacteria	ABY1	Candidatus Komeilibacteria	Incertae Sedis	-1.28659767739544e-05	-2.87835164160071e-05	-2.34151492192741e-05	-7.96788475718736e-05	-1.45286823849099e-05	-6.61806907754841e-05	-8.72336474294037e-05	3.68737454358143e-05
Bacteria||Patescibacteria||ABY1||Candidatus Kuenenbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	ABY1	Candidatus Kuenenbacteria	Incertae Sedis	-4.55164633115111e-06	-2.15038369466236e-06	1.97776695419325e-06	-1.83713565199424e-05	1.14459166072923e-05	-1.57278739497854e-06	-4.90602595269676e-06	-8.00168898254574e-06
Bacteria||Patescibacteria||ABY1||Candidatus Magasanikbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	ABY1	Candidatus Magasanikbacteria	Incertae Sedis	-2.97375325943184e-05	-8.34111808534782e-05	-2.32381668772434e-05	-0.000211401097053723	-7.54115643536525e-05	-0.000164074260836007	-0.0001532221972523	3.19615233349296e-05
Bacteria||Patescibacteria||ABY1||Candidatus Uhrbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	ABY1	Candidatus Uhrbacteria	Incertae Sedis	-7.81223049103227e-06	-1.6989751486191e-05	1.0205472991276e-05	-4.14462529297417e-05	-2.15710174296328e-05	-2.78699834251233e-05	-3.98437338491615e-05	6.36013455893516e-06
Bacteria||Patescibacteria||ABY1||NA||NA	full	Bacteria	Patescibacteria	ABY1	NA	NA	-1.03043462498437e-05	-1.25750362797121e-05	-2.58358253787312e-05	-6.03541503671547e-05	-3.65438966101646e-05	-7.27479686921275e-05	-0.000103775353150495	2.24851122871192e-05
Bacteria||Patescibacteria||Berkelbacteria||Incertae Sedis||Incertae Sedis	full	Bacteria	Patescibacteria	Berkelbacteria	Incertae Sedis	Incertae Sedis	-1.67258358014582e-05	-4.19797950049861e-05	-2.34525692931929e-05	-4.10098514972038e-05	2.12702589625849e-05	-5.54177550247726e-05	-5.20147895150494e-05	6.53824306075195e-06
Bacteria||Patescibacteria||CPR2||Incertae Sedis||Incertae Sedis	full	Bacteria	Patescibacteria	CPR2	Incertae Sedis	Incertae Sedis	-1.07357972482406e-05	-4.09090076656258e-06	-8.90292684631883e-07	-1.20367877740065e-05	-3.47710109761367e-07	-2.78131550351766e-05	-2.33058722286197e-05	5.72037413643275e-06
Bacteria||Patescibacteria||Dojkabacteria||Incertae Sedis||Incertae Sedis	full	Bacteria	Patescibacteria	Dojkabacteria	Incertae Sedis	Incertae Sedis	-7.82175977342158e-05	-0.000284581484141584	-0.000114286395892237	-0.000152712629824085	-6.02953520122629e-06	-1.7527205936592e-05	-0.000265613707314305	0.000128032142662147
Bacteria||Patescibacteria||Gracilibacteria||Absconditabacteriales (SR1)||Incertae Sedis	full	Bacteria	Patescibacteria	Gracilibacteria	Absconditabacteriales (SR1)	Incertae Sedis	-0.000297869072440939	-0.000836531982724853	-0.000893946077111105	-0.00261799503448051	-0.0012418254253052	-0.00201919609081474	-0.00332735983975629	-0.000241949067915585
Bacteria||Patescibacteria||Gracilibacteria||Candidatus Peregrinibacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peregrinibacteria	Incertae Sedis	-1.44907084393289e-05	-5.02040051238316e-05	1.70445010742411e-05	-6.15768459530908e-05	3.20266228758411e-05	-1.64607041060323e-05	-2.12030209836101e-05	-3.19710377121917e-05
Bacteria||Patescibacteria||Gracilibacteria||Candidatus Peribacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peribacteria	Incertae Sedis	-4.34581155615967e-05	-8.82279511326792e-05	-1.47123214410728e-05	-0.000150348649437801	-4.72493417310664e-05	-0.000203989995692214	-0.000162743042770865	5.93066757283543e-05
Bacteria||Patescibacteria||Gracilibacteria||Incertae Sedis||Incertae Sedis	full	Bacteria	Patescibacteria	Gracilibacteria	Incertae Sedis	Incertae Sedis	-6.70912159366138e-05	-0.000262681809549375	-0.000492556510224215	-0.00141756950944427	-0.000819751131708785	-0.000756180721650314	-0.0011545122056466	3.60838278824491e-06
